!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-930.2,47.4,9.0,0.1,298.15,
R00004,-16.6,0.4,9.0,0.1,298.15,
R00005,-48.8,15.2,9.0,0.1,298.15,
R00006,20.8,7.4,9.0,0.1,298.15,
R00008,16.3,4.7,9.0,0.1,298.15,
R00009,-193.1,13.3,9.0,0.1,298.15,
R00010,-11.7,2.1,9.0,0.1,298.15,
R00011,,,9.0,0.1,298.15,uncertainty is too high
R00012,15.7,15.0,9.0,0.1,298.15,
R00013,-8.2,8.8,9.0,0.1,298.15,
R00014,,,9.0,0.1,298.15,uncertainty is too high
R00015,-6.3,10.7,9.0,0.1,298.15,
R00016,-1.4,5.2,9.0,0.1,298.15,
R00017,,,9.0,0.1,298.15,uncertainty is too high
R00018,-2.7,15.6,9.0,0.1,298.15,
R00019,35.9,13.0,9.0,0.1,298.15,
R00021,49.9,11.8,9.0,0.1,298.15,
R00022,-13.6,18.3,9.0,0.1,298.15,
R00023,,,9.0,0.1,298.15,uncertainty is too high
R00024,-50.9,7.5,9.0,0.1,298.15,
R00025,,,9.0,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,9.0,0.1,298.15,
R00027,7.8,20.1,9.0,0.1,298.15,
R00028,-14.6,3.1,9.0,0.1,298.15,
R00029,,,9.0,0.1,298.15,uncertainty is too high
R00031,-523.7,15.4,9.0,0.1,298.15,
R00032,-364.5,88.8,9.0,0.1,298.15,
R00033,,,9.0,0.1,298.15,uncertainty is too high
R00034,,,9.0,0.1,298.15,uncertainty is too high
R00036,-108.8,9.7,9.0,0.1,298.15,
R00038,-10.0,4.4,9.0,0.1,298.15,
R00039,1.0,6.3,9.0,0.1,298.15,
R00041,,,9.0,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,9.0,0.1,298.15,
R00043,-382.7,26.8,9.0,0.1,298.15,
R00044,,,9.0,0.1,298.15,uncertainty is too high
R00045,-382.5,20.7,9.0,0.1,298.15,
R00047,,,9.0,0.1,298.15,uncertainty is too high
R00048,-60.8,9.7,9.0,0.1,298.15,
R00049,-9.2,39.2,9.0,0.1,298.15,
R00052,,,9.0,0.1,298.15,uncertainty is too high
R00053,-64.5,33.2,9.0,0.1,298.15,
R00054,-65.9,24.7,9.0,0.1,298.15,
R00055,-423.3,10.5,9.0,0.1,298.15,
R00056,,,9.0,0.1,298.15,uncertainty is too high
R00057,,,9.0,0.1,298.15,uncertainty is too high
R00058,-274.8,24.5,9.0,0.1,298.15,
R00059,1.9,11.1,9.0,0.1,298.15,
R00060,,,9.0,0.1,298.15,uncertainty is too high
R00061,,,9.0,0.1,298.15,uncertainty is too high
R00062,0.0,162.8,9.0,0.1,298.15,
R00063,-6.9,7.8,9.0,0.1,298.15,
R00066,-151.0,34.0,9.0,0.1,298.15,
R00067,121.5,5.8,9.0,0.1,298.15,
R00068,,,9.0,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,9.0,0.1,298.15,
R00070,-637.7,97.2,9.0,0.1,298.15,
R00072,,,9.0,0.1,298.15,uncertainty is too high
R00073,,,9.0,0.1,298.15,uncertainty is too high
R00074,,,9.0,0.1,298.15,uncertainty is too high
R00075,,,9.0,0.1,298.15,uncertainty is too high
R00076,,,9.0,0.1,298.15,uncertainty is too high
R00077,,,9.0,0.1,298.15,uncertainty is too high
R00078,0.4,33.5,9.0,0.1,298.15,
R00080,,,9.0,0.1,298.15,uncertainty is too high
R00081,,,9.0,0.1,298.15,uncertainty is too high
R00082,,,9.0,0.1,298.15,uncertainty is too high
R00083,,,9.0,0.1,298.15,uncertainty is too high
R00084,-123.8,45.0,9.0,0.1,298.15,
R00085,-72.3,1.2,9.0,0.1,298.15,
R00086,-36.7,0.6,9.0,0.1,298.15,
R00087,-55.6,1.1,9.0,0.1,298.15,
R00088,-48.6,7.0,9.0,0.1,298.15,
R00089,-2.9,2.0,9.0,0.1,298.15,
R00090,-315.1,6.4,9.0,0.1,298.15,
R00091,-14.6,6.6,9.0,0.1,298.15,
R00092,218.8,16.4,9.0,0.1,298.15,
R00093,39.8,1.8,9.0,0.1,298.15,
R00094,9.0,1.7,9.0,0.1,298.15,
R00095,,,9.0,0.1,298.15,uncertainty is too high
R00097,,,9.0,0.1,298.15,uncertainty is too high
R00099,,,9.0,0.1,298.15,uncertainty is too high
R00100,,,9.0,0.1,298.15,uncertainty is too high
R00101,,,9.0,0.1,298.15,uncertainty is too high
R00102,-55.9,6.3,9.0,0.1,298.15,
R00103,-58.0,5.9,9.0,0.1,298.15,
R00104,-22.8,5.8,9.0,0.1,298.15,
R00105,-21.9,5.8,9.0,0.1,298.15,
R00106,,,9.0,0.1,298.15,uncertainty is too high
R00107,,,9.0,0.1,298.15,uncertainty is too high
R00108,,,9.0,0.1,298.15,uncertainty is too high
R00109,,,9.0,0.1,298.15,uncertainty is too high
R00111,,,9.0,0.1,298.15,uncertainty is too high
R00112,-1.0,0.7,9.0,0.1,298.15,
R00113,-316.1,6.5,9.0,0.1,298.15,
R00114,40.8,1.9,9.0,0.1,298.15,
R00115,10.0,1.6,9.0,0.1,298.15,
R00118,-13.9,5.8,9.0,0.1,298.15,
R00119,-53.6,6.5,9.0,0.1,298.15,
R00120,-113.0,8.4,9.0,0.1,298.15,
R00122,-35.5,0.6,9.0,0.1,298.15,
R00123,-52.3,7.6,9.0,0.1,298.15,
R00125,-56.7,18.3,9.0,0.1,298.15,
R00126,19.9,18.3,9.0,0.1,298.15,
R00127,-1.2,0.3,9.0,0.1,298.15,
R00128,-42.8,5.8,9.0,0.1,298.15,
R00129,-65.7,25.2,9.0,0.1,298.15,
R00130,-8.4,5.8,9.0,0.1,298.15,
R00131,-11.3,9.0,9.0,0.1,298.15,
R00132,,,9.0,0.1,298.15,uncertainty is too high
R00134,-13.1,6.5,9.0,0.1,298.15,
R00135,315.7,11.0,9.0,0.1,298.15,
R00137,2.4,5.8,9.0,0.1,298.15,
R00138,,,9.0,0.1,298.15,uncertainty is too high
R00139,2.6,17.6,9.0,0.1,298.15,
R00140,-1.5,16.1,9.0,0.1,298.15,
R00141,,,9.0,0.1,298.15,uncertainty is too high
R00143,,,9.0,0.1,298.15,uncertainty is too high
R00145,,,9.0,0.1,298.15,uncertainty is too high
R00146,,,9.0,0.1,298.15,uncertainty is too high
R00148,,,9.0,0.1,298.15,uncertainty is too high
R00149,-40.7,7.9,9.0,0.1,298.15,
R00150,-4.0,7.9,9.0,0.1,298.15,
R00152,,,9.0,0.1,298.15,uncertainty is too high
R00153,-90.9,7.2,9.0,0.1,298.15,
