!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-746.1,47.4,6.0,0.1,298.15,
R00004,-15.0,0.4,6.0,0.1,298.15,
R00005,-95.9,15.2,6.0,0.1,298.15,
R00006,37.9,7.4,6.0,0.1,298.15,
R00008,16.3,4.7,6.0,0.1,298.15,
R00009,-193.1,13.3,6.0,0.1,298.15,
R00010,-11.7,2.1,6.0,0.1,298.15,
R00011,,,6.0,0.1,298.15,uncertainty is too high
R00012,14.7,15.0,6.0,0.1,298.15,
R00013,-25.3,8.8,6.0,0.1,298.15,
R00014,,,6.0,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,6.0,0.1,298.15,
R00016,-0.1,5.2,6.0,0.1,298.15,
R00017,,,6.0,0.1,298.15,uncertainty is too high
R00018,-0.8,15.6,6.0,0.1,298.15,
R00019,-2.2,13.0,6.0,0.1,298.15,
R00021,86.1,11.8,6.0,0.1,298.15,
R00022,-14.1,18.3,6.0,0.1,298.15,
R00023,,,6.0,0.1,298.15,uncertainty is too high
R00024,-17.8,7.5,6.0,0.1,298.15,
R00025,,,6.0,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,6.0,0.1,298.15,
R00027,7.8,20.1,6.0,0.1,298.15,
R00028,-14.6,3.1,6.0,0.1,298.15,
R00029,,,6.0,0.1,298.15,uncertainty is too high
R00031,-522.5,15.4,6.0,0.1,298.15,
R00032,-364.6,88.8,6.0,0.1,298.15,
R00033,,,6.0,0.1,298.15,uncertainty is too high
R00034,,,6.0,0.1,298.15,uncertainty is too high
R00036,-104.1,9.7,6.0,0.1,298.15,
R00038,-10.0,4.4,6.0,0.1,298.15,
R00039,1.0,6.3,6.0,0.1,298.15,
R00041,,,6.0,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,6.0,0.1,298.15,
R00043,-367.5,26.8,6.0,0.1,298.15,
R00044,,,6.0,0.1,298.15,uncertainty is too high
R00045,-383.9,20.7,6.0,0.1,298.15,
R00047,,,6.0,0.1,298.15,uncertainty is too high
R00048,-43.7,9.7,6.0,0.1,298.15,
R00049,-8.2,39.2,6.0,0.1,298.15,
R00052,,,6.0,0.1,298.15,uncertainty is too high
R00053,-52.4,33.2,6.0,0.1,298.15,
R00054,-52.5,24.7,6.0,0.1,298.15,
R00055,-423.3,10.5,6.0,0.1,298.15,
R00056,,,6.0,0.1,298.15,uncertainty is too high
R00057,,,6.0,0.1,298.15,uncertainty is too high
R00058,-277.6,24.5,6.0,0.1,298.15,
R00059,7.7,11.1,6.0,0.1,298.15,
R00060,,,6.0,0.1,298.15,uncertainty is too high
R00061,,,6.0,0.1,298.15,uncertainty is too high
R00062,0.1,162.8,6.0,0.1,298.15,
R00063,-6.5,7.8,6.0,0.1,298.15,
R00066,-168.0,34.0,6.0,0.1,298.15,
R00067,87.3,5.8,6.0,0.1,298.15,
R00068,,,6.0,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,6.0,0.1,298.15,
R00070,-670.1,97.2,6.0,0.1,298.15,
R00072,,,6.0,0.1,298.15,uncertainty is too high
R00073,,,6.0,0.1,298.15,uncertainty is too high
R00074,,,6.0,0.1,298.15,uncertainty is too high
R00075,,,6.0,0.1,298.15,uncertainty is too high
R00076,,,6.0,0.1,298.15,uncertainty is too high
R00077,,,6.0,0.1,298.15,uncertainty is too high
R00078,-75.8,33.5,6.0,0.1,298.15,
R00080,,,6.0,0.1,298.15,uncertainty is too high
R00081,,,6.0,0.1,298.15,uncertainty is too high
R00082,,,6.0,0.1,298.15,uncertainty is too high
R00083,,,6.0,0.1,298.15,uncertainty is too high
R00084,-128.2,45.0,6.0,0.1,298.15,
R00085,-42.8,1.2,6.0,0.1,298.15,
R00086,-24.3,0.6,6.0,0.1,298.15,
R00087,-27.8,1.1,6.0,0.1,298.15,
