!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-766.9,47.4,7.0,0.1,298.15,
R00004,-15.8,0.4,7.0,0.1,298.15,
R00005,-78.8,15.2,7.0,0.1,298.15,
R00006,32.2,7.4,7.0,0.1,298.15,
R00008,16.3,4.7,7.0,0.1,298.15,
R00009,-193.1,13.3,7.0,0.1,298.15,
R00010,-11.7,2.1,7.0,0.1,298.15,
R00011,,,7.0,0.1,298.15,uncertainty is too high
R00012,15.0,15.0,7.0,0.1,298.15,
R00013,-19.6,8.8,7.0,0.1,298.15,
R00014,,,7.0,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,7.0,0.1,298.15,
R00016,-1.2,5.2,7.0,0.1,298.15,
R00017,,,7.0,0.1,298.15,uncertainty is too high
R00018,-0.8,15.6,7.0,0.1,298.15,
R00019,12.6,13.0,7.0,0.1,298.15,
R00021,71.3,11.8,7.0,0.1,298.15,
R00022,-13.6,18.3,7.0,0.1,298.15,
R00023,,,7.0,0.1,298.15,uncertainty is too high
R00024,-28.3,7.5,7.0,0.1,298.15,
R00025,,,7.0,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,7.0,0.1,298.15,
R00027,7.8,20.1,7.0,0.1,298.15,
R00028,-14.6,3.1,7.0,0.1,298.15,
R00029,,,7.0,0.1,298.15,uncertainty is too high
R00031,-522.5,15.4,7.0,0.1,298.15,
R00032,-364.6,88.8,7.0,0.1,298.15,
R00033,,,7.0,0.1,298.15,uncertainty is too high
R00034,,,7.0,0.1,298.15,uncertainty is too high
R00036,-109.0,9.7,7.0,0.1,298.15,
R00038,-10.0,4.4,7.0,0.1,298.15,
R00039,1.0,6.3,7.0,0.1,298.15,
R00041,,,7.0,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,7.0,0.1,298.15,
R00043,-368.5,26.8,7.0,0.1,298.15,
R00044,,,7.0,0.1,298.15,uncertainty is too high
R00045,-383.9,20.7,7.0,0.1,298.15,
R00047,,,7.0,0.1,298.15,uncertainty is too high
R00048,-49.4,9.7,7.0,0.1,298.15,
R00049,-8.2,39.2,7.0,0.1,298.15,
R00052,,,7.0,0.1,298.15,uncertainty is too high
R00053,-57.7,33.2,7.0,0.1,298.15,
R00054,-58.1,24.7,7.0,0.1,298.15,
R00055,-423.3,10.5,7.0,0.1,298.15,
R00056,,,7.0,0.1,298.15,uncertainty is too high
R00057,,,7.0,0.1,298.15,uncertainty is too high
R00058,-277.5,24.5,7.0,0.1,298.15,
R00059,3.6,11.1,7.0,0.1,298.15,
R00060,,,7.0,0.1,298.15,uncertainty is too high
R00061,,,7.0,0.1,298.15,uncertainty is too high
R00062,0.0,162.8,7.0,0.1,298.15,
R00063,-6.5,7.8,7.0,0.1,298.15,
R00066,-162.4,34.0,7.0,0.1,298.15,
R00067,98.7,5.8,7.0,0.1,298.15,
R00068,,,7.0,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,7.0,0.1,298.15,
R00070,-659.9,97.2,7.0,0.1,298.15,
R00072,,,7.0,0.1,298.15,uncertainty is too high
R00073,,,7.0,0.1,298.15,uncertainty is too high
R00074,,,7.0,0.1,298.15,uncertainty is too high
R00075,,,7.0,0.1,298.15,uncertainty is too high
R00076,,,7.0,0.1,298.15,uncertainty is too high
R00077,,,7.0,0.1,298.15,uncertainty is too high
R00078,-46.2,33.5,7.0,0.1,298.15,
R00080,,,7.0,0.1,298.15,uncertainty is too high
R00081,,,7.0,0.1,298.15,uncertainty is too high
R00082,,,7.0,0.1,298.15,uncertainty is too high
R00083,,,7.0,0.1,298.15,uncertainty is too high
R00084,-128.2,45.0,7.0,0.1,298.15,
R00085,-50.2,1.2,7.0,0.1,298.15,
R00086,-26.4,0.6,7.0,0.1,298.15,
R00087,-34.5,1.1,7.0,0.1,298.15,
R00088,-57.8,7.0,7.0,0.1,298.15,
R00089,7.0,2.0,7.0,0.1,298.15,
R00090,-326.5,6.4,7.0,0.1,298.15,
R00091,-6.3,6.6,7.0,0.1,298.15,
R00092,206.9,16.4,7.0,0.1,298.15,
R00093,49.4,1.8,7.0,0.1,298.15,
R00094,16.5,1.7,7.0,0.1,298.15,
R00095,,,7.0,0.1,298.15,uncertainty is too high
R00097,,,7.0,0.1,298.15,uncertainty is too high
R00099,,,7.0,0.1,298.15,uncertainty is too high
R00100,,,7.0,0.1,298.15,uncertainty is too high
R00101,,,7.0,0.1,298.15,uncertainty is too high
R00102,-35.1,6.3,7.0,0.1,298.15,
R00103,-36.0,5.9,7.0,0.1,298.15,
R00104,-11.8,5.8,7.0,0.1,298.15,
R00105,-10.9,5.8,7.0,0.1,298.15,
R00106,,,7.0,0.1,298.15,uncertainty is too high
R00107,,,7.0,0.1,298.15,uncertainty is too high
R00108,,,7.0,0.1,298.15,uncertainty is too high
R00109,,,7.0,0.1,298.15,uncertainty is too high
R00111,,,7.0,0.1,298.15,uncertainty is too high
R00112,-1.0,0.7,7.0,0.1,298.15,
R00113,-327.5,6.5,7.0,0.1,298.15,
R00114,50.3,1.9,7.0,0.1,298.15,
R00115,17.4,1.6,7.0,0.1,298.15,
R00118,-14.6,5.8,7.0,0.1,298.15,
R00119,-32.7,6.5,7.0,0.1,298.15,
R00120,-117.0,8.4,7.0,0.1,298.15,
R00122,-23.8,0.6,7.0,0.1,298.15,
R00123,-61.5,7.6,7.0,0.1,298.15,
R00125,-36.1,18.3,7.0,0.1,298.15,
R00126,9.7,18.3,7.0,0.1,298.15,
R00127,-2.6,0.3,7.0,0.1,298.15,
R00128,-32.4,5.8,7.0,0.1,298.15,
R00129,-55.4,25.2,7.0,0.1,298.15,
R00130,3.6,5.8,7.0,0.1,298.15,
R00131,-29.9,9.0,7.0,0.1,298.15,
R00132,,,7.0,0.1,298.15,uncertainty is too high
R00134,-13.1,6.5,7.0,0.1,298.15,
R00135,235.9,11.0,7.0,0.1,298.15,
R00137,1.5,5.8,7.0,0.1,298.15,
R00138,,,7.0,0.1,298.15,uncertainty is too high
R00139,2.6,17.6,7.0,0.1,298.15,
R00140,-0.1,16.1,7.0,0.1,298.15,
R00141,,,7.0,0.1,298.15,uncertainty is too high
R00143,,,7.0,0.1,298.15,uncertainty is too high
R00145,,,7.0,0.1,298.15,uncertainty is too high
R00146,,,7.0,0.1,298.15,uncertainty is too high
R00148,,,7.0,0.1,298.15,uncertainty is too high
R00149,-0.0,7.9,7.0,0.1,298.15,
R00150,26.4,7.9,7.0,0.1,298.15,
R00152,,,7.0,0.1,298.15,uncertainty is too high
R00153,-132.2,7.2,7.0,0.1,298.15,
R00155,-21.2,6.3,7.0,0.1,298.15,
R00156,-2.4,2.5,7.0,0.1,298.15,
R00157,-0.2,2.5,7.0,0.1,298.15,
R00158,-5.2,6.3,7.0,0.1,298.15,
R00159,-24.1,2.5,7.0,0.1,298.15,
R00160,-23.3,9.4,7.0,0.1,298.15,
R00161,-11.1,9.4,7.0,0.1,298.15,
R00162,,,7.0,0.1,298.15,uncertainty is too high
R00164,,,7.0,0.1,298.15,uncertainty is too high
R00165,,,7.0,0.1,298.15,uncertainty is too high
R00166,,,7.0,0.1,298.15,uncertainty is too high
R00167,,,7.0,0.1,298.15,uncertainty is too high
R00168,,,7.0,0.1,298.15,uncertainty is too high
R00169,,,7.0,0.1,298.15,uncertainty is too high
R00170,,,7.0,0.1,298.15,uncertainty is too high
R00172,,,7.0,0.1,298.15,uncertainty is too high
R00173,-12.3,14.6,7.0,0.1,298.15,
R00174,-14.1,3.9,7.0,0.1,298.15,
R00175,,,7.0,0.1,298.15,uncertainty is too high
R00177,,,7.0,0.1,298.15,uncertainty is too high
R00178,,,7.0,0.1,298.15,uncertainty is too high
R00179,,,7.0,0.1,298.15,uncertainty is too high
R00180,,,7.0,0.1,298.15,uncertainty is too high
R00181,-31.6,3.8,7.0,0.1,298.15,
R00182,-17.7,3.0,7.0,0.1,298.15,
R00183,-14.2,2.8,7.0,0.1,298.15,
R00184,-33.6,18.3,7.0,0.1,298.15,
R00185,-12.2,2.8,7.0,0.1,298.15,
R00187,,,7.0,0.1,298.15,uncertainty is too high
R00188,-11.0,6.1,7.0,0.1,298.15,
R00189,-16.4,25.3,7.0,0.1,298.15,
R00190,17.1,2.6,7.0,0.1,298.15,
R00191,-41.5,2.2,7.0,0.1,298.15,
R00192,34.7,5.8,7.0,0.1,298.15,
R00193,-23.3,5.6,7.0,0.1,298.15,
R00194,-15.1,5.4,7.0,0.1,298.15,
R00195,-4.8,7.3,7.0,0.1,298.15,
R00196,,,7.0,0.1,298.15,uncertainty is too high
R00197,,,7.0,0.1,298.15,uncertainty is too high
R00198,,,7.0,0.1,298.15,uncertainty is too high
R00199,3.8,1.0,7.0,0.1,298.15,
R00200,27.7,0.8,7.0,0.1,298.15,
R00203,-29.0,4.1,7.0,0.1,298.15,
R00205,-28.0,4.1,7.0,0.1,298.15,
R00206,19.6,1.0,7.0,0.1,298.15,
R00207,-158.9,10.4,7.0,0.1,298.15,
R00208,-54.1,1.1,7.0,0.1,298.15,
R00209,-35.3,6.4,7.0,0.1,298.15,
R00210,-34.4,6.4,7.0,0.1,298.15,
R00211,-168.8,10.3,7.0,0.1,298.15,
R00212,21.2,3.0,7.0,0.1,298.15,
R00213,,,7.0,0.1,298.15,uncertainty is too high
R00214,13.0,6.2,7.0,0.1,298.15,
R00215,22.3,10.3,7.0,0.1,298.15,
R00216,14.0,6.2,7.0,0.1,298.15,
R00217,-17.3,6.2,7.0,0.1,298.15,
R00218,,,7.0,0.1,298.15,uncertainty is too high
R00219,23.0,8.5,7.0,0.1,298.15,
R00220,-28.7,1.8,7.0,0.1,298.15,
R00221,-27.7,5.8,7.0,0.1,298.15,
R00223,-28.9,3.5,7.0,0.1,298.15,
R00224,-18.3,6.5,7.0,0.1,298.15,
R00226,32.2,7.4,7.0,0.1,298.15,
R00227,-30.0,1.0,7.0,0.1,298.15,
R00228,-17.0,2.4,7.0,0.1,298.15,
R00229,3.6,0.8,7.0,0.1,298.15,
R00230,9.8,1.2,7.0,0.1,298.15,
R00233,-17.8,6.3,7.0,0.1,298.15,
R00234,,,7.0,0.1,298.15,uncertainty is too high
R00235,-4.5,0.8,7.0,0.1,298.15,
R00236,,,7.0,0.1,298.15,uncertainty is too high
R00237,9.1,30.2,7.0,0.1,298.15,
R00238,26.1,1.7,7.0,0.1,298.15,
R00239,26.4,4.5,7.0,0.1,298.15,
R00241,24.3,4.5,7.0,0.1,298.15,
R00243,38.0,0.6,7.0,0.1,298.15,
R00245,-43.6,4.0,7.0,0.1,298.15,
R00248,38.9,0.7,7.0,0.1,298.15,
R00250,-95.5,8.3,7.0,0.1,298.15,
R00251,-6.9,6.2,7.0,0.1,298.15,
R00253,-15.0,1.6,7.0,0.1,298.15,
R00254,54.9,9.5,7.0,0.1,298.15,
R00256,-11.4,1.7,7.0,0.1,298.15,
R00257,-27.8,25.3,7.0,0.1,298.15,
R00258,-0.2,1.1,7.0,0.1,298.15,
R00259,-27.4,6.5,7.0,0.1,298.15,
R00260,0.6,4.3,7.0,0.1,298.15,
R00261,-25.0,6.9,7.0,0.1,298.15,
R00262,-7.4,4.7,7.0,0.1,298.15,
R00263,,,7.0,0.1,298.15,uncertainty is too high
R00264,-35.2,4.0,7.0,0.1,298.15,
R00265,-26.3,7.7,7.0,0.1,298.15,
R00267,6.4,6.3,7.0,0.1,298.15,
R00268,-15.5,7.8,7.0,0.1,298.15,
R00269,0.3,4.7,7.0,0.1,298.15,
R00270,41.3,6.4,7.0,0.1,298.15,
R00271,-28.4,5.4,7.0,0.1,298.15,
R00272,-18.9,6.7,7.0,0.1,298.15,
R00273,-165.0,15.4,7.0,0.1,298.15,
R00274,-310.0,6.6,7.0,0.1,298.15,
R00275,,,7.0,0.1,298.15,uncertainty is too high
R00276,177.8,11.7,7.0,0.1,298.15,
R00277,-96.7,17.0,7.0,0.1,298.15,
R00278,-111.0,16.8,7.0,0.1,298.15,
R00279,-96.1,9.3,7.0,0.1,298.15,
R00280,,,7.0,0.1,298.15,uncertainty is too high
R00281,,,7.0,0.1,298.15,uncertainty is too high
R00282,,,7.0,0.1,298.15,uncertainty is too high
R00283,,,7.0,0.1,298.15,uncertainty is too high
R00284,,,7.0,0.1,298.15,uncertainty is too high
R00286,-12.8,4.3,7.0,0.1,298.15,
R00287,-29.6,7.5,7.0,0.1,298.15,
R00289,0.0,1.1,7.0,0.1,298.15,
R00291,2.9,1.6,7.0,0.1,298.15,
R00292,247.2,3.0,7.0,0.1,298.15,
R00293,-56.1,4.9,7.0,0.1,298.15,
R00294,,,7.0,0.1,298.15,uncertainty is too high
R00295,,,7.0,0.1,298.15,uncertainty is too high
R00296,,,7.0,0.1,298.15,uncertainty is too high
R00297,,,7.0,0.1,298.15,uncertainty is too high
R00298,,,7.0,0.1,298.15,uncertainty is too high
R00299,-17.3,0.9,7.0,0.1,298.15,
R00300,-3.4,2.2,7.0,0.1,298.15,
R00301,-4.6,4.1,7.0,0.1,298.15,
R00302,-126.4,8.9,7.0,0.1,298.15,
R00303,-9.1,0.9,7.0,0.1,298.15,
R00304,-16.6,1.6,7.0,0.1,298.15,
R00305,,,7.0,0.1,298.15,uncertainty is too high
R00306,-12.9,3.7,7.0,0.1,298.15,
R00307,-0.1,0.6,7.0,0.1,298.15,
R00308,-272.1,1.6,7.0,0.1,298.15,
R00310,,,7.0,0.1,298.15,uncertainty is too high
R00311,,,7.0,0.1,298.15,uncertainty is too high
R00312,,,7.0,0.1,298.15,uncertainty is too high
R00313,,,7.0,0.1,298.15,uncertainty is too high
R00314,,,7.0,0.1,298.15,uncertainty is too high
R00315,13.4,1.1,7.0,0.1,298.15,
R00316,,,7.0,0.1,298.15,uncertainty is too high
R00317,-39.8,1.3,7.0,0.1,298.15,
R00318,-82.3,13.8,7.0,0.1,298.15,
R00319,-497.7,8.8,7.0,0.1,298.15,
R00320,24.0,1.3,7.0,0.1,298.15,
R00321,-22.8,4.7,7.0,0.1,298.15,
R00322,,,7.0,0.1,298.15,uncertainty is too high
R00324,-57.2,4.2,7.0,0.1,298.15,
R00325,2.2,2.3,7.0,0.1,298.15,
R00326,,,7.0,0.1,298.15,uncertainty is too high
R00327,-28.4,4.6,7.0,0.1,298.15,
R00328,-23.0,2.4,7.0,0.1,298.15,
R00329,,,7.0,0.1,298.15,uncertainty is too high
R00330,-2.5,2.6,7.0,0.1,298.15,
R00331,,,7.0,0.1,298.15,uncertainty is too high
R00332,-3.4,2.4,7.0,0.1,298.15,
R00333,,,7.0,0.1,298.15,uncertainty is too high
R00334,,,7.0,0.1,298.15,uncertainty is too high
R00335,-23.9,2.7,7.0,0.1,298.15,
R00336,,,7.0,0.1,298.15,uncertainty is too high
R00337,-26.9,6.6,7.0,0.1,298.15,
R00338,-51.1,6.7,7.0,0.1,298.15,
R00339,-35.3,3.9,7.0,0.1,298.15,
R00340,-35.3,3.9,7.0,0.1,298.15,
R00341,10.3,6.2,7.0,0.1,298.15,
R00342,30.3,0.6,7.0,0.1,298.15,
R00343,31.3,0.9,7.0,0.1,298.15,
R00344,-4.2,1.4,7.0,0.1,298.15,
R00345,36.7,6.2,7.0,0.1,298.15,
R00346,21.0,6.2,7.0,0.1,298.15,
R00347,-26.6,4.3,7.0,0.1,298.15,
R00348,-6.9,5.0,7.0,0.1,298.15,
R00350,18.8,5.4,7.0,0.1,298.15,
R00351,34.6,0.9,7.0,0.1,298.15,
R00352,8.2,0.9,7.0,0.1,298.15,
R00353,-0.5,2.9,7.0,0.1,298.15,
R00354,15.4,29.9,7.0,0.1,298.15,
R00355,2.9,1.1,7.0,0.1,298.15,
R00357,-92.6,8.3,7.0,0.1,298.15,
R00359,-97.5,9.1,7.0,0.1,298.15,
R00360,-103.1,8.3,7.0,0.1,298.15,
R00361,,,7.0,0.1,298.15,uncertainty is too high
R00362,4.6,0.9,7.0,0.1,298.15,
R00363,5.7,5.8,7.0,0.1,298.15,
R00364,,,7.0,0.1,298.15,uncertainty is too high
R00365,46.0,3.2,7.0,0.1,298.15,
R00366,-87.4,8.8,7.0,0.1,298.15,
R00367,,,7.0,0.1,298.15,uncertainty is too high
R00368,31.9,7.8,7.0,0.1,298.15,
R00369,-8.3,3.3,7.0,0.1,298.15,
R00371,38.5,4.1,7.0,0.1,298.15,
R00372,8.0,3.2,7.0,0.1,298.15,
R00373,5.2,3.2,7.0,0.1,298.15,
