!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R00002,-748.3,47.4,6.5,0.1,298.15,
R00004,-15.3,0.4,6.5,0.1,298.15,
R00005,-87.4,15.2,6.5,0.1,298.15,
R00006,35.1,7.4,6.5,0.1,298.15,
R00008,16.3,4.7,6.5,0.1,298.15,
R00009,-193.1,13.3,6.5,0.1,298.15,
R00010,-11.7,2.1,6.5,0.1,298.15,
R00011,,,6.5,0.1,298.15,uncertainty is too high
R00012,14.6,15.0,6.5,0.1,298.15,
R00013,-22.5,8.8,6.5,0.1,298.15,
R00014,,,6.5,0.1,298.15,uncertainty is too high
R00015,-6.2,10.7,6.5,0.1,298.15,
R00016,-0.9,5.2,6.5,0.1,298.15,
R00017,,,6.5,0.1,298.15,uncertainty is too high
R00018,-0.8,15.6,6.5,0.1,298.15,
R00019,5.8,13.0,6.5,0.1,298.15,
R00021,78.2,11.8,6.5,0.1,298.15,
R00022,-13.8,18.3,6.5,0.1,298.15,
R00023,,,6.5,0.1,298.15,uncertainty is too high
R00024,-22.9,7.5,6.5,0.1,298.15,
R00025,,,6.5,0.1,298.15,uncertainty is too high
R00026,-12.9,3.7,6.5,0.1,298.15,
R00027,7.8,20.1,6.5,0.1,298.15,
R00028,-14.6,3.1,6.5,0.1,298.15,
R00029,,,6.5,0.1,298.15,uncertainty is too high
R00031,-522.5,15.4,6.5,0.1,298.15,
R00032,-364.6,88.8,6.5,0.1,298.15,
R00033,,,6.5,0.1,298.15,uncertainty is too high
R00034,,,6.5,0.1,298.15,uncertainty is too high
R00036,-106.8,9.7,6.5,0.1,298.15,
R00038,-10.0,4.4,6.5,0.1,298.15,
R00039,1.0,6.3,6.5,0.1,298.15,
R00041,,,6.5,0.1,298.15,uncertainty is too high
R00042,-671.6,20.3,6.5,0.1,298.15,
R00043,-367.7,26.8,6.5,0.1,298.15,
R00044,,,6.5,0.1,298.15,uncertainty is too high
R00045,-383.9,20.7,6.5,0.1,298.15,
R00047,,,6.5,0.1,298.15,uncertainty is too high
R00048,-46.5,9.7,6.5,0.1,298.15,
R00049,-8.2,39.2,6.5,0.1,298.15,
R00052,,,6.5,0.1,298.15,uncertainty is too high
R00053,-55.2,33.2,6.5,0.1,298.15,
R00054,-55.3,24.7,6.5,0.1,298.15,
R00055,-423.3,10.5,6.5,0.1,298.15,
R00056,,,6.5,0.1,298.15,uncertainty is too high
R00057,,,6.5,0.1,298.15,uncertainty is too high
R00058,-277.6,24.5,6.5,0.1,298.15,
R00059,5.3,11.1,6.5,0.1,298.15,
R00060,,,6.5,0.1,298.15,uncertainty is too high
R00061,,,6.5,0.1,298.15,uncertainty is too high
R00062,0.0,162.8,6.5,0.1,298.15,
R00063,-6.5,7.8,6.5,0.1,298.15,
R00066,-165.2,34.0,6.5,0.1,298.15,
R00067,93.0,5.8,6.5,0.1,298.15,
R00068,,,6.5,0.1,298.15,uncertainty is too high
R00069,162.7,15.4,6.5,0.1,298.15,
R00070,-664.8,97.2,6.5,0.1,298.15,
R00072,,,6.5,0.1,298.15,uncertainty is too high
R00073,,,6.5,0.1,298.15,uncertainty is too high
R00074,,,6.5,0.1,298.15,uncertainty is too high
R00075,,,6.5,0.1,298.15,uncertainty is too high
R00076,,,6.5,0.1,298.15,uncertainty is too high
R00077,,,6.5,0.1,298.15,uncertainty is too high
R00078,-59.8,33.5,6.5,0.1,298.15,
R00080,,,6.5,0.1,298.15,uncertainty is too high
R00081,,,6.5,0.1,298.15,uncertainty is too high
R00082,,,6.5,0.1,298.15,uncertainty is too high
R00083,,,6.5,0.1,298.15,uncertainty is too high
R00084,-128.3,45.0,6.5,0.1,298.15,
R00085,-45.9,1.2,6.5,0.1,298.15,
R00086,-25.0,0.6,6.5,0.1,298.15,
R00087,-30.6,1.1,6.5,0.1,298.15,
R00088,-60.6,7.0,6.5,0.1,298.15,
R00089,8.3,2.0,6.5,0.1,298.15,
R00090,-329.4,6.4,6.5,0.1,298.15,
R00091,-3.2,6.6,6.5,0.1,298.15,
R00092,202.9,16.4,6.5,0.1,298.15,
R00093,52.2,1.8,6.5,0.1,298.15,
R00094,19.5,1.7,6.5,0.1,298.15,
R00095,,,6.5,0.1,298.15,uncertainty is too high
R00097,,,6.5,0.1,298.15,uncertainty is too high
R00099,,,6.5,0.1,298.15,uncertainty is too high
R00100,,,6.5,0.1,298.15,uncertainty is too high
R00101,,,6.5,0.1,298.15,uncertainty is too high
R00102,-31.5,6.3,6.5,0.1,298.15,
R00103,-31.8,5.9,6.5,0.1,298.15,
R00104,-9.4,5.8,6.5,0.1,298.15,
R00105,-8.4,5.8,6.5,0.1,298.15,
R00106,,,6.5,0.1,298.15,uncertainty is too high
R00107,,,6.5,0.1,298.15,uncertainty is too high
R00108,,,6.5,0.1,298.15,uncertainty is too high
R00109,,,6.5,0.1,298.15,uncertainty is too high
R00111,,,6.5,0.1,298.15,uncertainty is too high
R00112,-1.0,0.7,6.5,0.1,298.15,
R00113,-330.4,6.5,6.5,0.1,298.15,
R00114,53.2,1.9,6.5,0.1,298.15,
R00115,20.5,1.6,6.5,0.1,298.15,
R00118,-15.6,5.8,6.5,0.1,298.15,
R00119,-29.1,6.5,6.5,0.1,298.15,
R00120,-116.8,8.4,6.5,0.1,298.15,
R00122,-20.9,0.6,6.5,0.1,298.15,
R00123,-64.4,7.6,6.5,0.1,298.15,
R00125,-33.4,18.3,6.5,0.1,298.15,
R00126,8.4,18.3,6.5,0.1,298.15,
